Report #,Title,Report Type,Category,Severity,Date Discovered,Date Reported,Date Answered,Date Resolved,LCN,Part Number,Serial Number
S007UNUS01-1-22897211,(501)REQUEST EEL CORRECTION FOR 2 LIFT FANS INST'D ON ACFT 168057 (BF06/VM01) & 168058 (BF07/VM02).,DQIM,CAT II,Low,7/9/14 14:47,7/9/14 14:57,9/11/14 21:32,9/15/14 10:13,C8610100,0,0
S007UNUS01-1-22936831,(LM MX) A/C VM06 Fiber Optic cable P/N incorrect for A/C BOM,DQIM,CAT I,Low,7/12/14 3:12,7/14/14 13:10,7/15/14 14:08,7/16/14 1:13,A9940010,77450090-004,10126
S007UNUS01-1-23065491,RCN door P/N is being superseded,DQIM,CAT I,Low,7/21/14 23:52,7/22/14 0:33,7/22/14 20:53,7/23/14 4:10,A5233105,2WSH62085-8012,21
S007UNUS01-1-23078868,(LM/MX) Cover 3105 on BF-12 is showing the pre-mod P/N on the EEL and needs to show the post mod P/N,DQIM,CAT I,Low,7/22/14 17:38,7/22/14 18:02,7/22/14 19:23,7/22/14 8:07,A5233105,2WSH62029-8005,-8
S007UNUS01-1-23087581,(LM MOD)VM-10 Request door 3103 P/N be changed for post modification,DQIM,CAT I,Low,7/22/14 20:28,7/22/14 22:08,7/23/14 19:30,7/23/14 9:32,A5233103,2WSH62029-0005,38
S007UNUS01-1-23087697,(LM / MOD) VM-10 Request change to part number for door 3104 post-modification,DQIM,CAT I,Low,7/22/14 20:43,7/22/14 22:07,7/23/14 19:30,7/23/14 9:20,A5233104,2WSH62034-0005,11
S007UNUS01-1-23087811,(LM / MOD) VM-10 Request change to part number for door 3105 post-modification,DQIM,CAT I,Low,7/22/14 20:46,7/22/14 22:06,7/23/14 19:29,7/23/14 9:19,A5233105,2WSH62085-0012,19
S007UNUS01-1-23091917,(LM / MOD) VM-10 Request change to part number for door 3106 post-modification,DQIM,CAT I,Low,7/22/14 20:52,7/22/14 22:05,7/23/14 19:29,7/23/14 9:16,A5233106,2WSH62086-0013,14
S007UNUS01-1-23329221,(LM MX) VM08 Cannot install IPP crossover valve,DQIM,CAT II,Low,8/5/14 15:21,8/5/14 18:27,8/28/14 16:42,9/5/14 1:21,A2116021,3885144-1,0
S007UNUS01-1-23329724,(FSE) 2ZZZ00012 Form 2 Type 2 Repair Paste not loaded in CMMS,DQIM,CAT II,Low,8/6/14 2:02,8/6/14 2:10,9/5/14 20:43,9/15/14 6:11,A518,0,0
S007UNUS01-1-23385093,(LM/MX)EEL problems for BF09 / 168060 / VM-04,DQIM,CAT I,Low,7/25/12 17:07,8/7/14 19:32,8/8/14 18:41,8/11/14 3:32,A,0,0
S007UNUS01-1-23393411,(LM/MX) Superseded PN requires loaded to ALIS so part can be installed.,DQIM,CAT I,Low,8/8/14 1:35,8/8/14 13:06,8/19/14 13:45,8/20/14 5:23,A4620010,114E9640G5,0
S007UNUS01-1-23403691,Part number for wheel hubcap fastener,Supply Chain,CAT II,Medium,8/8/14 16:26,8/9/14 3:26,10/27/14 18:40,10/28/14 2:56,A3243,0,0
S007UNUS01-1-23473186,(LM) IMU Serial Number Correction 168058 VM02,DQIM,CAT II,Low,8/12/14 22:35,8/12/14 22:58,9/30/14 22:55,11/15/14 3:30,A3420,34212042-0010,275
S007UNUS01-1-23473761,(LM/MX) BF09 (168060) VM04 U0ble to install FCS in CMMS due to precedence issue.,DQIM,CAT I,Low,8/14/14 10:01,8/14/14 10:42,8/15/14 15:03,8/19/14 4:40,A4220028,275A505-203,2016
S007UNUS01-1-23585541,(LM/MX) -  ICP Rack LCN 4220026 SPIO module requires serial number update shown as unknown. (VM04),DQIM,CAT II,Low,8/19/14 4:36,8/21/14 10:26,10/15/14 18:42,11/6/14 4:21,A4220,4985733-0005,1221
S007UNUS01-1-23690041,(LM/MX) Wheel speed drive unit (Hubcap) on VM04 (168060) BF-09 has incorrect cage code on EEL,DQIM,CAT I,Low,8/22/14 8:20,8/22/14 11:07,8/22/14 13:38,8/25/14 1:20,A3243325,2649E0501-3,267
S007UNUS01-1-23802961,(LM/MX) VM00 / 168839 / BF36 Create EEL for Optimized Lube Scavenge Pump,DQIM,CAT II,Medium,8/28/14 7:38,8/28/14 10:51,12/30/14 20:11,12/31/14 11:13,A2470,2MEH00041-0003,3522269
S007UNUS01-1-23803068,(LM/MX) VM00 / 168839 / BF36 Egine Driven Pump requires creation of EEL,DQIM,CAT II,Medium,8/28/14 8:04,8/28/14 10:50,12/30/14 20:12,12/31/14 11:12,A2911,2GHH43007-0005,0
S007UNUS01-1-23849301,(LM/MX) PREC on Part needs to be dropped be1 3 (VM05),DQIM,CAT I,Low,9/2/14 17:31,9/2/14 18:21,9/2/14 22:46,9/5/14 12:40,A2713,AE010486-80,0
S007UNUS01-1-23906843,(LM / MX) Wing tip lens configuration (VM09/ BF14),DQIM,CAT I,Low,9/4/14 16:07,9/4/14 16:36,9/5/14 3:05,9/30/14 6:01,A3342,0,0
S007UNUS01-1-24025391,(LM/MX) AD BOM request for P&W engine S/N PW0E758623,DQIM,CAT I,Low,9/10/14 12:24,9/10/14 13:27,9/10/14 19:27,9/12/14 11:36,E7200001,2MPH00013-0002,0
S007UNUS01-1-24111564,BF12-BF18 have Flight test LCN's associated with them.,DQIM,CAT II,Medium,9/15/14 13:09,9/15/14 15:04,10/9/14 22:18,11/25/14 4:46,F31,2mzh28010-0027,168309
S007UNUS01-1-24296593,"BOM inventory discrepancy ICP Rack, LCN A4220052 SPIO Sig0l Processor #6 has unknown serial number",DQIM,CAT II,Low,9/23/14 2:24,9/26/14 4:09,4/20/15 19:48,7/22/15 20:55,A4220052,2ZKH85222,0
S007UNUS01-1-24331504,UAF showŠ—Ès up as AVBKF in STC Package Ma0gement,DQIM,CAT II,Medium,9/23/14 21:45,9/23/14 21:52,0,3/4/15 18:36,ALIS,0,0
S007UNUS01-1-24375341,lm/mx Left wingtip light engine serial number update BF11/VM06,DQIM,CAT II,Low,9/26/14 2:55,9/26/14 4:08,10/1/14 17:47,10/10/14 1:01,A3342010,87-02182-001,0
S007UNUS01-1-24420451,(LM/MX) Canopy assy (2FSH73201-0009) for BF8 cannot be installed due to precedence level,DQIM,CAT I,Low,9/29/14 16:23,9/29/14 16:43,9/30/14 18:11,9/30/14 7:36,A5611310,2FSH73201-0009,0
S007UNUS01-1-24496031,Main mount retrat actuators serial numbers do not match alis.,DQIM,CAT II,Low,10/1/14 18:39,10/1/14 20:16,10/9/14 22:04,10/10/14 10:28,A3232320,2649a4300-8,0
S007UNUS01-1-24516401,Change Serial Number For Canopy So It May Reflect In System,DQIM,CAT II,Medium,10/2/14 14:43,10/22/14 22:32,1/7/15 15:33,1/8/15 3:48,A5611310,2FSH73201-0008,122
S007UNUS01-1-24524531,"(LM, MX) U0ble to install engine E758615 into VM04",DQIM,CAT I,Low,10/3/14 16:34,10/3/14 17:02,10/6/14 9:49,10/8/14 1:04,E7200,2MPH00013-0005n,0
S007UNUS01-1-24586961,Cross over Valve incorrect in ALIS,DQIM,CAT I,Low,10/6/14 23:41,10/7/14 0:07,10/8/14 14:07,10/8/14 2:09,A2112040,3885144-1,0
S007UNUS01-1-24770901,"(LM, MX) CSMU Battery requires EEL. (VM03)",DQIM,CAT II,Low,10/16/14 23:12,10/17/14 0:05,10/21/14 19:25,10/22/14 3:32,A27,DK-140,0
S007UNUS01-1-24787111,(LM/MX) Create Part Number for ESG Scavenge Pump,DQIM,CAT II,Low,10/17/14 20:45,10/17/14 21:14,5/18/15 18:49,7/22/15 20:55,A2432020,MS9558-24,0
S007UNUS01-1-24835531,STOVL Wheel and Tire Assy ser num B0053 has EEL Alert,DQIM,CAT II,High,10/21/14 18:00,10/21/14 22:19,10/22/14 19:18,10/22/14 10:34,A3241310,2649A4510-7,0
S007UNUS01-1-24891371,"LM(MX) No usage or information on the Neck Protection device for  VM05 / BF10 , 168061",DQIM,CAT II,Low,10/23/14 17:50,10/24/14 1:05,4/2/15 21:36,7/22/15 20:55,A9511,MBEU253467-2,0
S007UNUS01-1-25045011,Add LCN A4232050 back to BOM for BF-6 through BF-11,DQIM,CAT I,Low,10/30/14 22:02,10/30/14 22:15,11/1/14 7:57,4/27/15 1:01,A4232050,0,0
S007UNUS01-1-25088061,(LM/MX) Pilot valve serial number incorrect,DQIM,CAT II,Low,11/3/14 19:27,11/3/14 19:37,1/5/15 14:43,2/11/15 1:42,A2824070,62127-2,0
S007UNUS01-1-25096031,(LM/MX) EEL alert on ESG due to P/N conflict for 168716 (BK-3) (137),DQIM,CAT I,Low,11/4/14 9:01,11/4/14 9:32,11/7/14 16:04,11/12/14 12:34,A2432020,1708841D,0
S007UNUS01-1-25111921,(LM/MX) VM06 /168082 /  BF11 Cage Code issue for identified part number,DQIM,CAT II,Medium,11/5/14 9:33,11/5/14 13:37,6/1/15 14:30,7/22/15 20:55,A2116021,3885144-1,44
S007UNUS01-1-25112813,(LM PS&D) Load Kit into TCTD solution.,DQIM,CAT II,High,11/5/14 10:44,11/5/14 12:24,1/12/15 15:23,2/11/15 1:41,A29,2PHB00240A,0
S007UNUS01-1-25191741,(LM/MX) BOM inventory discrepancy VM-00 / BF-36. GP Processor module LCN 4220011 serial number.,DQIM,CAT II,Low,11/10/14 23:46,11/12/14 12:19,3/2/15 15:50,7/22/15 20:55,A4220,7393745-03,245
S007UNUS01-1-25221061,(LM/MX) ADBOM requires correction for IPP D991932CTV00008-00050168 on 168311 (BF-15) VM10,DQIM,CAT I,Low,11/12/14 9:18,11/12/14 9:28,11/12/14 18:20,11/15/14 1:03,A2111,3800796-7,168
S007UNUS01-1-25221678,(LM/MX) Data plate on ICC shows different serial number than is in ALIS,DQIM,CAT I,Low,11/12/14 13:59,11/12/14 14:19,11/20/14 22:46,11/21/14 11:56,A2432,1714967A,3592759
S007UNUS01-1-25267961,(LM/MX) Correction of Fire Detector serial numbers in CMMS (VM-05 / 168061),DQIM,CAT II,Low,11/14/14 1:43,11/14/14 2:49,2/16/15 22:44,2/17/15 20:42,A26,0,0
S007UNUS01-1-25298291,(LM/MODS) Serial number update for supply turn in.,DQIM,CAT II,Low,11/17/14 19:20,11/20/14 14:07,11/20/14 22:44,11/21/14 12:02,A2618,04-90020-020N,0
S007UNUS01-1-25397611,(LM PS&D) Request part number load & Flight Clearance,DQIM,CAT II,High,11/21/14 15:22,11/21/14 15:34,4/16/15 19:07,7/22/15 20:55,A2432,1708841C,0
S007UNUS01-1-25397713,(LM PS&D) Request Part Number load & Flight Clearance,DQIM,CAT II,High,11/21/14 15:29,11/21/14 15:48,12/18/14 19:52,12/19/14 4:03,A95,MBEU254140-3,0
S007UNUS01-1-25433951,(MX/LM) Correction of Panel/Cover serial numbers in CMMS (VM-05 / 168061),DQIM,CAT II,Low,11/24/14 16:59,11/24/14 21:48,12/18/14 21:52,12/19/14 4:00,A52,0,0
S007UNUS01-1-25462331,(LM/MX) EEL alert preventing suppy turn in for ESG lube pump,DQIM,CAT II,Low,11/25/14 7:30,11/25/14 8:21,11/25/14 17:34,11/26/14 6:50,A2470010,1711097A,4186648
S007UNUS01-1-25496521,(MX/LM) Correction of Panel/Cover serial numbers in CMMS (VM-05 / 168061),DQIM,CAT II,Low,11/26/14 21:46,11/26/14 23:16,12/18/14 21:20,12/19/14 3:58,A52,0,0
S007UNUS01-1-25496626,(MX/LM) Correction of Fire Detector serial numbers in CMMS (VM-05 / 168061),DQIM,CAT II,Low,11/26/14 22:07,11/26/14 23:16,12/18/14 19:35,12/19/14 3:56,A2614,53523-025,0
S007UNUS01-1-25605511,(LM/MX) VM05 (BF-10) 168061does not show the parachute assy (A9511013) in the LCN BOM,DQIM,CAT I,Low,12/5/14 12:50,12/5/14 15:48,1/6/15 15:17,1/6/15 5:45,A9511013,0,0
S007UNUS01-1-25619001,(LM/MX) RIO serial number incorrect,DQIM,CAT II,Low,12/5/14 20:55,12/5/14 22:05,1/8/15 11:39,1/14/15 12:04,A4610,600JSF1,570
S007UNUS01-1-25655331,(LMMX)Serial number change for unserviceable refuel valve PN 62127-2 on VM04,DQIM,CAT II,Medium,12/9/14 18:06,12/9/14 20:27,3/6/15 23:46,7/22/15 20:55,A2824011,62127-2,0
S007UNUS01-1-25745881,"(LM/MX) Correction of Fire Detector serial numbers in CMMS (VM-10, 168311)",DQIM,CAT II,Low,12/16/14 3:51,12/16/14 12:01,12/17/14 22:04,12/17/14 11:45,A26,53523-025,0
S007UNUS01-1-25805181,(LM/MX) ESG serial number not valid for LCN (VM04),DQIM,CAT I,Low,12/18/14 3:32,12/18/14 3:49,12/18/14 22:12,12/18/14 11:05,A2432,1708840C,4388838
S007UNUS01-1-25851871,(MX/LM) Correction of Panel/Cover serial numbers in CMMS (VM-10 / 168311),DQIM,CAT II,Low,12/18/14 20:30,12/18/14 21:47,1/14/15 9:42,1/14/15 7:49,A52,0,0
S007UNUS01-1-25949901,"(LM/MX) Cover assembly 1120 does not have ADBOM and EEL alert (168060, VM04, BF-9)",DQIM,CAT I,Low,12/27/14 17:59,12/29/14 13:32,12/29/14 19:36,12/29/14 9:35,A5211120,2FKH11013-0008,0
S007UNUS01-1-25979421,"(LM, MX) Part number change Per TCTD F35-AAB-A9431000002-932C-M",DQIM,CAT II,Low,12/31/14 20:41,12/31/14 21:09,4/1/15 16:40,7/22/15 20:55,A94,0,0
S007UNUS01-1-26009271,(LM PS&D) Part Number Priority Change in CMMS.,DQIM,CAT II,High,1/6/15 15:53,1/6/15 17:34,2/18/15 13:40,4/1/15 9:52,A5612312,2R9231F,0
S007UNUS01-1-26337901, (FSR) Duplicate EELs Identified,DQIM,CAT II,High,1/21/15 20:08,1/21/15 20:39,1/22/15 15:11,3/9/15 14:14,S5130027,2SJJ02058-0001,0
S007UNUS01-1-26383021,(LMMX) Clear EEL Data CMMS Alert for 3032579-101of 168839,DQIM,CAT II,Medium,1/23/15 14:10,1/23/15 16:45,3/3/15 19:38,7/22/15 20:55,A2912010,3032579-101,0
S007UNUS01-1-26448818,(LM MX) Prep to reinstall FOM QEC kit components on engine after 250 HR insp had issues,DQIM,CAT I,Low,1/27/15 21:28,1/27/15 22:31,2/2/15 16:40,2/9/15 12:17,E7200001,2MPH00013-0005,0
S013-20170614-171245966,(MALS-13/CMMS) Power module solution does not contain necessary part number.,DQIM,CAT I,Low,6/14/17 17:12,6/15/17 14:52,6/21/17 21:09,7/6/17 16:52,Default,4135856,0
S013-20170719-194152844,HOW TO IDENTIFY REMAIN IN PLACE ITEMS,Supply Chain,CAT II,High,7/19/17 19:41,7/20/17 22:20,0,0,Default,0,0
S013-20170725-215527492,(CERF/6000424031) EEL Creation for Power Module Container,DQIM,CAT II,Low,7/25/17 21:55,8/1/17 22:28,8/15/17 20:01,8/22/17 21:41,Default,P4109926,6000424031
S013-20170810-230617657,Condition Code A_SERV not al1ed for consumable.,Supply Chain,CAT II,High,8/10/17 23:06,8/10/17 23:34,0,0,Default,JSFM10P4A,0
S013-20170815-160630429,EEL CREATION REQUIRED FOR P&W PARTS,DQIM,CAT I,Low,8/15/17 16:06,8/15/17 16:21,8/16/17 21:17,8/28/17 13:10,C7855010,4136291,0
S013-20170907-202922200,EEL CREATION PN 2VSH33513-0003 SN 0082 CAGE 0L1E5,DQIM,CAT II,High,9/7/17 20:29,10/2/17 22:30,10/6/17 11:18,0,Default,2VSH33513-0003,82
S013-20170907-211027281,EEL CREATION PN 2VSH33513-0003 SN 0082 CAGE 0L1E5,DQIM,CAT II,High,9/7/17 21:10,10/2/17 22:26,10/18/17 19:39,1/0/00 0:00,Default,2VSH33513-0003,82
S013-20170928-152507275,"PN: 2WSH82719-0007, SN: 0092 EEL CREATION",DQIM,CAT II,High,9/28/17 15:25,10/2/17 22:26,10/16/17 14:00,0,Default,2WSH82719-0007,92
S013-20170928-170226297,EEL CREATION REQUIRED PN:2WSH82719-0007 SN:0080,DQIM,CAT II,Medium,9/28/17 17:02,9/28/17 17:14,10/18/17 19:41,1/0/00 0:00,Default,2WSH82719-0007,1/0/00 0:00
S013-20170928-194158807,EEL CREATION REQUIRED PN:2VSH31243-0002 SN:23368275,DQIM,CAT II,Medium,9/28/17 19:41,9/28/17 19:44,10/9/17 23:21,0,Default,2VSH31243-0002,0
S013-20171004-014021288,EEL TRANSFER PN:115K959G06 SN:1042,DQIM,CAT I,Low,10/4/17 1:40,10/4/17 13:38,10/4/17 19:49,10/4/17 23:00,Default,115K959G06,1042
S013-20171004-194954535,EEL TRANSFER PN: 833767-01 SN: 00671,DQIM,CAT I,Low,10/4/17 19:49,10/4/17 20:06,10/11/17 19:23,0,Default,833767-01,671
S013-20171010-042606964,EEL REQUEST // EEL STILL NOT AVAILABLE,DQIM,CAT II,High,10/10/17 4:26,10/10/17 4:31,10/17/17 13:07,1/0/00 0:00,Default,215K988G08,21182
S013-20171010-044057048,EEL CREATION PER JAY SILVERMAN // P/N 2CSH20293-3003 // S/N AA00051543,DQIM,CAT II,High,10/10/17 4:40,10/10/17 4:42,10/16/17 12:08,0,Default,2CSH20293-3003,0
S013-20171010-052510079,DTR / EEL CREATION PER HARRIS WULFFRITH // P/N 2VSH33509-0003 // S/N 23483876,DQIM,CAT II,High,10/10/17 5:25,10/10/17 5:28,10/16/17 12:14,1/0/00 0:00,Default,2VSH33509-0003,23483876
S013-20171017-064335281,EEL CREATION / NOT IN LDM PER FSR,DQIM,CAT II,High,10/17/17 6:43,10/17/17 6:45,10/18/17 15:41,0,Default,2614501-2,0
S013-20171017-065030320,EEL CREATION,DQIM,CAT II,High,10/17/17 6:50,10/17/17 6:51,10/18/17 15:44,1/0/00 0:00,Default,2614501-2,1/0/00 0:00
S013-20171020-054239267,EEL CREATION PER JAY SILVERMAN,DQIM,CAT II,High,10/20/17 5:42,10/20/17 5:44,12/11/17 19:56,0,Default,2VSH31243-0002,23368275
S013-20171023-035336026,EEL CREATION PER ROBBIE DANNER,DQIM,CAT II,High,10/23/17 3:53,10/23/17 3:56,11/10/17 19:11,11/13/17 16:58,A5244312,2VSH33512-0003,101
S013-20171024-044319381,EEL CREATION / ASSISTANCE,DQIM,CAT II,High,10/24/17 4:43,10/24/17 4:49,10/26/17 20:19,11/13/17 17:00,Default,426-0321-0150,13614698
S013-20171024-062656975,EEL CREATION / ASSISTANCE,DQIM,CAT II,High,10/24/17 6:26,10/24/17 6:27,10/26/17 20:20,11/13/17 17:00,Default,426-0321-0150,14496372
S013-20171024-063639632,EEL CREATION / ASSISTANCE,DQIM,CAT II,High,10/24/17 6:36,10/24/17 6:38,0,0,Default,987-006-410,0
S013-20171026-065747807,EEL CREATION / ASSISTANCE,DQIM,CAT II,High,10/26/17 6:57,10/26/17 7:04,10/30/17 20:34,11/13/17 16:59,Default,9021490400-1,0
S013-20171113-154642735,EEL REQUEST PN: 4135038,DQIM,CAT II,High,11/13/17 15:46,11/13/17 16:58,11/16/17 14:13,0,Default,0,0
S013-20171113-171738617,EEL REQUEST PN: 2614501-2,DQIM,CAT II,High,11/13/17 17:17,11/13/17 18:11,11/16/17 14:16,0,Default,0,0
S013-20171114-153340031,EEL REQUEST PN: 9P302JSF1-1,DQIM,CAT II,High,11/14/17 15:33,11/14/17 15:48,11/27/17 19:29,0,Default,0,0
S013-20171121-205933801,"EEL CREATION, PN: 1709065B SN: AAFF000198",DQIM,CAT II,High,11/21/17 20:59,11/21/17 21:07,11/27/17 19:32,0,Default,1709065B,0
S013-20171128-172922997,WRONG PART NUMBER ON PART,Supply Chain,CAT I,Low,11/28/17 17:29,11/28/17 17:56,11/29/17 16:07,11/29/17 18:11,Default,2FRH11017-0006,702
S013-20171129-174908140,WRONG PART NUMBER ON PART,Supply Chain,CAT I,Low,11/29/17 17:49,11/29/17 18:11,11/30/17 23:36,12/1/17 14:22,Default,2FRH11017-0006,702
S013-20171204-191528978,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 19:15,12/4/17 23:39,12/5/17 21:28,0,Default,2CTV00227-0005,278
S013-20171204-192143127,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 19:21,12/4/17 23:40,12/5/17 19:32,0,Default,JS15230,0
S013-20171204-192613696,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 19:26,12/4/17 23:41,12/5/17 19:36,0,Default,4117778-01,0
S013-20171204-193136609,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 19:31,12/4/17 23:42,12/5/17 19:43,0,Default,JS30619,0
S013-20171204-202754971,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 20:27,12/4/17 23:42,12/5/17 19:55,0,Default,JS15329,0
S013-20171204-204708767,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 20:47,12/4/17 23:43,12/5/17 21:31,0,Default,5100048,0
S013-20171204-210544432,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 21:05,12/4/17 23:43,12/5/17 20:10,0,Default,2GRV03320-0030,224
S013-20171204-211146990,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 21:11,12/4/17 23:44,12/5/17 20:13,0,Default,2ZAH30402-0001,573
S013-20171204-215506543,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 21:55,12/4/17 23:44,12/5/17 21:43,0,Default,2GLV24004-0001,199
S013-20171204-220216277,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 22:02,12/4/17 23:44,12/13/17 12:39,0,Default,JS20223,0
S013-20171204-221447914,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 22:14,12/4/17 23:45,12/5/17 20:15,0,Default,2CTV00227-0005,137
S013-20171204-225533537,EEL REQUEST FROM DAWN BLITZ,DQIM,CAT I,Low,12/4/17 22:55,12/4/17 23:45,12/12/17 0:07,0,Default,2GLV14003-0022,301
S013UNUS01-1-14610076,PART NUMBER NOT IN ALIS,DQIM,CAT II,Low,2/1/13 19:33,2/21/13 15:30,1/9/14 17:21,8/18/14 6:51,DQIM,DSR3926,0
S013UNUS01-1-14795491,"Request EEL validation for current repairable inventory at MCAS Yuma, AZ",DQIM,CAT II,Medium,2/25/13 22:43,2/26/13 16:09,8/19/13 21:33,8/6/14 7:20,A,N/A,0
S013UNUS01-1-15360991,Printing capability within ALIS,Supply Chain,CAT II,High,5/13/13 20:39,5/13/13 20:39,2/10/15 14:20,2/10/15 2:20,A,n/a,0
S013UNUS01-1-15692611,Requesting Part Numbers on attachment be loaded in ALIS SCM.,DQIM,CAT II,Low,6/13/13 14:16,6/13/13 14:27,7/24/14 18:36,10/1/14 6:17,DQIM,Default,0
S013UNUS01-1-15693101,Request create an EEL P/N: 2649E4502-5 Main Landing Tire Assy.  Complete serial # 261450/B0030,DQIM,CAT II,High,6/14/13 20:26,6/17/13 15:33,8/20/13 21:28,4/1/14 9:47,A3241310010,2649E4502-5,0
S013UNUS01-1-15693167,Request create an EEL for P/N 2628E2501-1 to put in service.,DQIM,CAT II,High,6/14/13 20:42,6/17/13 15:32,8/20/13 21:31,4/1/14 9:45,A3242010010,2628E2501-1,0
S013UNUS01-1-15693227,Request create an EEL for P/N 2628E2501-1 to put in service. Serial # 5042KL,DQIM,CAT II,High,6/14/13 21:06,6/17/13 15:32,8/20/13 21:32,4/1/14 9:44,A3242010010,2628E2501-1,0
S013UNUS01-1-15693287,Request create an EEL for P/N 2628E2501-1 to put in service. Serial # 5128LC,DQIM,CAT II,High,6/14/13 21:09,6/17/13 15:31,8/20/13 21:33,4/1/14 9:43,A3242010010,2628E2501-1,0
S013UNUS01-1-15776501,Pilot helmet display requisition failed to transfer item.,Supply Chain,CAT II,High,6/20/13 22:31,6/20/13 23:34,6/28/13 19:18,10/3/13 11:59,Not Applicable,353200-20-11,206
S013UNUS01-1-15776816,Mod Kit not serialized but has serialized components.,DQIM,CAT II,High,6/21/13 0:31,6/21/13 0:48,2/4/14 23:10,8/19/14 3:16,Not Applicable,2PHB00222D,0
S013UNUS01-1-15812683,Requesting PN JSFB21E4A9-2U be added to Parts Catalog in SCM.,DQIM,CAT II,High,7/1/13 14:02,7/1/13 22:09,10/21/13 20:21,8/6/14 6:39,Default,JSFB21E4A9-2U,0
S013UNUS01-1-15933451,Requesting EEL for P/N 2628E2502-1 S/N 5127LC.,DQIM,CAT II,High,7/15/13 15:04,7/16/13 15:08,10/30/13 22:01,4/1/14 9:38,A3242010011,2628E2502-1,0
S013UNUS01-1-15933551,Parts Not In Catalog.   See attachment,DQIM,CAT II,Medium,7/16/13 15:44,7/16/13 16:32,1/9/14 17:23,8/18/14 6:42,DQIM,DSR3926,0
S013UNUS01-1-15933679,Requesting EEL for NLG Tire Assy,DQIM,CAT II,Medium,7/16/13 16:33,8/20/13 21:07,10/31/13 15:37,4/1/14 9:32,A3242010011,2628E2502-1,0
S013UNUS01-1-16085311,Request create an EEL for P/N: 727-0690-02 S/N: S12409010 to put into service.,DQIM,CAT I,Low,7/29/13 15:19,8/2/13 20:54,8/6/13 18:44,4/1/14 9:34,A2511020,727-0690-02,0
S013UNUS01-1-16085593,Request create an EEL for P/N: 2ZKH31040-0010 (JSF) and 79768015-039 (Vendor P/N),DQIM,CAT I,Low,8/2/13 19:45,8/2/13 21:04,8/5/13 21:24,4/1/14 9:36,Default,79768015-039,1023
S013UNUS01-1-16085641,REQUEST EEL CREATION FOR PN: 2CTV00253-0002 VPN: 645888-1-1,DQIM,CAT II,High,8/2/13 20:28,8/2/13 20:33,9/5/13 18:03,4/1/14 9:35,Default,2CTV00253-0002,120
S013UNUS01-1-16086213,Request create an EEL for P/N: DK140 (vendor) or JS30486 (LM) Date of life expiry: Oct 2018,DQIM,CAT I,Low,8/7/13 15:34,8/7/13 21:51,8/8/13 18:26,4/1/14 8:35,C8613170,DK140,0
S013UNUS01-1-16196701,Request create an EEL for P/N: 2MEH00041-0003 (JSF) and 1711097A (vendor) Cage: 99167,DQIM,CAT I,Low,8/14/13 16:32,8/14/13 16:49,8/15/13 14:53,4/1/14 9:39,Default,2MEH00041-0003,0
S013UNUS01-1-16393921,Requesting PN B13125-00403 be added to parts catalog.,DQIM,CAT II,High,9/6/13 14:52,9/6/13 14:59,12/3/13 19:48,8/4/14 7:33,Default,B13125-00403,0
S013UNUS01-1-16541461,Requesting EEL for PN 2ZKH43010-0004 SN 0285. U0ble to identify LCN,DQIM,CAT II,Low,9/18/13 23:31,9/18/13 23:37,11/15/13 18:07,8/4/14 7:28,Default,2ZKH43010-0004,285
S013UNUS01-1-16541821,Requesting EEL for PN 2MEH00041-0003 SN 2570852. U0ble to identify LCN. Lube Pump,DQIM,CAT II,High,9/20/13 22:05,9/20/13 22:18,10/30/13 21:51,4/1/14 8:31,Default,2MEH00041-0003,2570852
S013UNUS01-1-16615371,Requesting EEL for PN 2GLV26002-0003 SN B0124 Date of Manufacture 2/12.,DQIM,CAT II,High,9/24/13 20:19,9/24/13 20:26,10/30/13 22:25,4/1/14 8:29,A3241310,2GLV26002-0003,0
S013UNUS01-1-16615469,Requesting EEL for PN 2GLV26002-0003 SN B0012 Manufacture date 03/2007,DQIM,CAT II,High,9/24/13 20:26,9/24/13 20:30,10/30/13 22:23,4/1/14 5:50,A3241310,2GLV26002-0003,0
S013UNUS01-1-16615831,Requesting that the Part Numbers and ARs  in the attachment are loaded in the parts catalog.,DQIM,CAT II,High,9/27/13 15:31,9/27/13 15:40,1/16/14 23:04,8/18/14 6:33,DQIM,DSR3926,0
S013UNUS01-1-16615999,Request EELfor the JSF P/N: 2GVH00001-0009 VND P/N: 600JSF2-1,DQIM,CAT II,High,9/30/13 15:43,9/30/13 16:03,12/10/13 19:34,4/1/14 5:49,A4610010,2GVH00001-0009,0
